Release 8.1i - Fit P.68d
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

11- 4-2019  1:28AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  ripple_carry_counter.ngd
output file: ripple_carry_counter_pad.csv
Part type:   xc9572
Speed grade: -7
Package:     tq100

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,q<32>,O,I/O,OUTPUT,,,,,,,,,
P2,TIE,,.,,,,,,,,,,
P3,q<30>,O,I/O/GTS1,OUTPUT,,,,,,,,,
P4,q<33>,O,I/O/GTS2,OUTPUT,,,,,,,,,
P5,VCC,,VCCINT,,,,,,,,,,
P6,q<34>,O,I/O,OUTPUT,,,,,,,,,
P7,TIE,,.,,,,,,,,,,
P8,q<35>,O,I/O,OUTPUT,,,,,,,,,
P9,q<36>,O,I/O,OUTPUT,,,,,,,,,
P10,q<38>,O,I/O,OUTPUT,,,,,,,,,
P11,q<37>,O,I/O,OUTPUT,,,,,,,,,
P12,q<39>,I/O,I/O,BIDIR,,,,,,,,,
P13,q<11>,O,I/O,OUTPUT,,,,,,,,,
P14,q<14>,O,I/O,OUTPUT,,,,,,,,,
P15,q<15>,O,I/O,OUTPUT,,,,,,,,,
P16,q<10>,O,I/O,OUTPUT,,,,,,,,,
P17,q<17>,O,I/O,OUTPUT,,,,,,,,,
P18,q<12>,O,I/O,OUTPUT,,,,,,,,,
P19,TIE,,.,,,,,,,,,,
P20,q<13>,O,I/O,OUTPUT,,,,,,,,,
P21,GND,,GND,,,,,,,,,,
P22,clk,GCK,I/O/GCK1,,,,,,,,,,
P23,q<19>,O,I/O/GCK2,OUTPUT,,,,,,,,,
P24,TIE,,.,,,,,,,,,,
P25,q<16>,O,I/O,OUTPUT,,,,,,,,,
P26,VCC,,VCCIO,,,,,,,,,,
P27,q<21>,O,I/O/GCK3,OUTPUT,,,,,,,,,
P28,q<18>,O,I/O,OUTPUT,,,,,,,,,
P29,q<22>,O,I/O,OUTPUT,,,,,,,,,
P30,q<24>,I/O,I/O,BIDIR,,,,,,,,,
P31,GND,,GND,,,,,,,,,,
P32,q<40>,O,I/O,OUTPUT,,,,,,,,,
P33,q<1>,I/O,I/O,BIDIR,,,,,,,,,
P34,TIE,,.,,,,,,,,,,
P35,q<43>,O,I/O,OUTPUT,,,,,,,,,
P36,q<20>,O,I/O,OUTPUT,,,,,,,,,
P37,q<46>,O,I/O,OUTPUT,,,,,,,,,
P38,VCC,,VCCIO,,,,,,,,,,
P39,q<23>,O,I/O,OUTPUT,,,,,,,,,
P40,TIE,,I/O,,,,,,,,,,
P41,q<3>,O,I/O,OUTPUT,,,,,,,,,
P42,q<47>,O,I/O,OUTPUT,,,,,,,,,
P43,TIE,,.,,,,,,,,,,
P44,GND,,GND,,,,,,,,,,
P45,TDI,,TDI,,,,,,,,,,
P46,TIE,,.,,,,,,,,,,
P47,TMS,,TMS,,,,,,,,,,
P48,TCK,,TCK,,,,,,,,,,
P49,q<41>,O,I/O,OUTPUT,,,,,,,,,
P50,q<42>,O,I/O,OUTPUT,,,,,,,,,
P51,VCC,,VCCIO,,,,,,,,,,
P52,q<49>,O,I/O,OUTPUT,,,,,,,,,
P53,q<44>,O,I/O,OUTPUT,,,,,,,,,
P54,q<45>,O,I/O,OUTPUT,,,,,,,,,
P55,q<51>,O,I/O,OUTPUT,,,,,,,,,
P56,q<52>,O,I/O,OUTPUT,,,,,,,,,
P57,VCC,,VCCINT,,,,,,,,,,
P58,TIE,,I/O,,,,,,,,,,
P59,TIE,,I/O,,,,,,,,,,
P60,q<48>,O,I/O,OUTPUT,,,,,,,,,
P61,q<4>,I/O,I/O,BIDIR,,,,,,,,,
P62,GND,,GND,,,,,,,,,,
P63,q<50>,O,I/O,OUTPUT,,,,,,,,,
P64,q<54>,O,I/O,OUTPUT,,,,,,,,,
P65,q<53>,I/O,I/O,BIDIR,,,,,,,,,
P66,q<0>,I/O,I/O,BIDIR,,,,,,,,,
P67,q<57>,O,I/O,OUTPUT,,,,,,,,,
P68,q<5>,O,I/O,OUTPUT,,,,,,,,,
P69,GND,,GND,,,,,,,,,,
P70,q<60>,O,I/O,OUTPUT,,,,,,,,,
P71,q<55>,O,I/O,OUTPUT,,,,,,,,,
P72,q<56>,O,I/O,OUTPUT,,,,,,,,,
P73,TIE,,.,,,,,,,,,,
P74,q<62>,O,I/O,OUTPUT,,,,,,,,,
P75,GND,,GND,,,,,,,,,,
P76,q<58>,O,I/O,OUTPUT,,,,,,,,,
P77,q<59>,O,I/O,OUTPUT,,,,,,,,,
P78,q<6>,O,I/O,OUTPUT,,,,,,,,,
P79,TIE,,I/O,,,,,,,,,,
P80,TIE,,.,,,,,,,,,,
P81,q<61>,O,I/O,OUTPUT,,,,,,,,,
P82,q<63>,O,I/O,OUTPUT,,,,,,,,,
P83,TDO,,TDO,,,,,,,,,,
P84,GND,,GND,,,,,,,,,,
P85,q<64>,O,I/O,OUTPUT,,,,,,,,,
P86,q<8>,O,I/O,OUTPUT,,,,,,,,,
P87,q<25>,O,I/O,OUTPUT,,,,,,,,,
P88,VCC,,VCCIO,,,,,,,,,,
P89,q<7>,O,I/O,OUTPUT,,,,,,,,,
P90,q<9>,I/O,I/O,BIDIR,,,,,,,,,
P91,q<27>,O,I/O,OUTPUT,,,,,,,,,
P92,TIE,,I/O,,,,,,,,,,
P93,q<28>,O,I/O,OUTPUT,,,,,,,,,
P94,q<26>,O,I/O,OUTPUT,,,,,,,,,
P95,q<29>,O,I/O,OUTPUT,,,,,,,,,
P96,q<2>,I/O,I/O,BIDIR,,,,,,,,,
P97,q<31>,O,I/O,OUTPUT,,,,,,,,,
P98,VCC,,VCCINT,,,,,,,,,,
P99,reset,GSR,I/O/GSR,,,,,,,,,,
P100,GND,,GND,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


